trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",20,6,-4.36474154794401,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",20,3,6.811601792888752,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",30,1,-50.04876500111568,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 1}",1
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",20,15,8.9714286051599,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.01, 'e': 0.7179106696109433}",20,0,-124.65491335458205,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",30,12,-65.99801865359034,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 1}",1
79,False,"{'a': 0.01, 'e': 0.7038453156522361}",20,6,-6.498161261301212,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
80,False,"{'a': 0.01, 'e': 0.6967067093471654}",30,0,-97.56713909242765,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
81,False,"{'a': 0.01, 'e': 0.689498432951747}",20,0,-46.076134321634825,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
82,False,"{'a': 0.01, 'e': 0.6822212072876135}",30,0,-62.019951565173685,"{0: 18, 1: 7, 2: 5, 3: 0, 4: 0}",0
83,False,"{'a': 0.01, 'e': 0.674875760071267}",30,0,-84.05302583019456,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
84,False,"{'a': 0.01, 'e': 0.6674628258413081}",25,0,-24.16017926402152,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",20,10,-37.036915052280115,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",30,0,-76.56940280299852,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",1
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",25,14,-44.566112856768804,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",35,19,-10.56605714442122,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",20,10,7.91686692532596,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.01, 'e': 0.6216099682706644}",20,3,4.334497806777226,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",20,13,-39.60869966126736,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
92,False,"{'a': 0.01, 'e': 0.6058201566434628}",35,0,-140.20669734060183,"{0: 25, 1: 3, 2: 4, 3: 0, 4: 3}",0
